ensembl_id,PC3_Normoxia_S1,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1
ENSG00000009413,484,2091,2641,1653,1090,349,1311,1571
ENSG00000009694,0,1311,1456,575,19,9,16,488
ENSG00000009709,0,0,0,1,0,0,0,0
ENSG00000009724,1,4,2,9,0,1,6,10
ENSG00000009765,2,507,550,578,0,1,0,621
ENSG00000009780,110,523,545,669,282,77,319,601
ENSG00000009790,0,0,0,0,0,0,0,0
ENSG00000009830,68,1116,1385,1040,167,45,192,897
ENSG00000009844,848,4200,4773,4582,2410,863,2501,4356
ENSG00000009950,25,271,245,337,33,14,61,271
ENSG00000009954,260,10111,11688,10050,530,162,676,9258
ENSG00000010017,242,4329,4464,3341,788,243,799,3102
ENSG00000010030,1,4,9,42,6,0,3,24
ENSG00000010072,127,700,868,868,303,98,401,804
ENSG00000010165,476,898,1126,1911,827,273,1176,1440
ENSG00000010219,165,879,1040,1038,338,103,463,821
ENSG00000010244,1335,7169,8413,9119,3476,1295,3690,7891
ENSG00000010256,850,3128,3553,4996,1880,634,1996,2894
ENSG00000010270,337,1703,1868,2299,918,321,893,1923
ENSG00000010278,637,43456,42803,46178,2609,816,1766,30598
ENSG00000010282,0,2,4,3,0,0,0,2
ENSG00000010292,1810,4995,5830,5938,4696,1660,5044,5888
ENSG00000010295,4,15,17,3,18,4,6,13
ENSG00000010310,1,0,1,3,15,6,10,0
ENSG00000010318,52,370,375,502,104,41,156,415
ENSG00000010319,5,355,345,405,10,4,13,362
ENSG00000010322,332,4740,5142,5642,723,256,887,4128
ENSG00000010327,0,17,9,7,1,0,3,5
ENSG00000010361,26,262,279,244,59,9,62,156
ENSG00000010379,1,5,7,12,0,0,1,10
ENSG00000010404,71,197,163,141,167,58,169,124
ENSG00000010438,5,0,1,5,57,16,29,1
ENSG00000010539,49,489,601,518,110,45,136,540
ENSG00000010610,0,15,19,19,0,0,0,10
ENSG00000010626,44,484,536,702,78,36,98,642
ENSG00000010671,4,7,4,8,8,2,17,7
ENSG00000010704,0,154,212,188,0,0,0,226
ENSG00000010803,194,2438,2658,3209,482,153,637,2646
ENSG00000010810,117,271,293,195,346,110,320,94
ENSG00000010818,414,3044,3475,1971,1999,647,1158,1848
ENSG00000010932,0,0,0,0,0,0,0,0
ENSG00000011007,362,3733,4405,3931,878,323,982,3225
ENSG00000011009,121,1118,1247,1284,211,80,282,835
ENSG00000011021,68,1047,1331,879,190,66,228,784
ENSG00000011028,104,11,5,14,364,134,297,13
ENSG00000011052,0,0,0,0,0,0,0,0
ENSG00000011083,0,0,0,0,0,1,0,0
ENSG00000011105,215,772,888,1393,374,150,536,893
ENSG00000011114,173,2709,3099,2360,513,161,464,2265
ENSG00000011132,104,408,435,510,187,74,293,319
ENSG00000011143,137,621,766,778,184,86,327,662
ENSG00000011198,451,1576,1753,1738,1818,641,1305,1627
ENSG00000011201,1296,3,1,3,4417,1513,3679,5
ENSG00000011243,291,5404,5913,4322,856,266,779,3204
ENSG00000011258,547,1992,2211,2018,1726,589,1496,1894
ENSG00000011260,103,1139,1307,1573,276,87,318,1305
ENSG00000011275,476,1487,1778,1442,1197,411,1276,1147
ENSG00000011295,225,4811,5523,3673,579,240,715,3419
